variable,kind
HDD65,numerical
CDD65,numerical
TYPEHUQ,categorical
CELLAR,boolean
BASEFIN,boolean
ATTIC,boolean
ATTICFIN,boolean
STORIES,categorical
SIZEOFGARAGE,ordinal
YEARMADERANGE,ordinal
BEDROOMS,numerical
NCOMBATH,numerical
NHAFBATH,numerical
WALLTYPE,categorical
ROOFTYPE,categorical
HIGHCEIL,boolean
TYPEGLASS,ordinal
TREESHAD,boolean
ADQINSUL,ordinal
FUELPOOL,categorical
FUELTUB,categorical
NUMFRIG,numerical
TYPERFR1,categorical
ICE,boolean
TYPERFR2,categorical
LOCRFRI2,categorical
WINECHILL,boolean
NUMFREEZ,numerical
UPRTFRZR,categorical
RANGEFUEL,categorical
RCOOKUSE,numerical
ROVENUSE,numerical
COOKTOPFUEL,categorical
COOKTOPUSE,numerical
OVENFUEL,categorical
OVENUSE,numerical
MICRO,numerical
AMTMICRO,numerical
OUTGRILLFUEL,categorical
DISHWASH,boolean
DWASHUSE,numerical
DWCYCLE,categorical
CWASHER,boolean
TOPFRONT,categorical
WASHLOAD,numerical
WASHTEMP,ordinal
DRYER,boolean
DRYRFUEL,categorical
DRYRUSE,numerical
TVCOLOR,numerical
PLAYSTA,numerical
DESKTOP,numerical
NUMLAPTOP,numerical
NUMTABLET,numerical
NUMSMPHONE,numerical
HEATHOME,boolean
HEATAPT,boolean
EQUIPM,categorical
FUELHEAT,categorical
EQUIPAUXTYPE,categorical
EQUIPAUX,boolean
FUELAUX,categorical
NUMPORTEL,numerical
NUMFIREPLC,numerical
BASEHEAT,boolean
ATTCHEAT,boolean
GARGHEAT,boolean
HUMIDTYPE,categorical
NUMPORTHUM,numerical
AIRCOND,boolean
COOLAPT,boolean
ACEQUIPM_PUB,categorical
ACEQUIPAUXTYPE_PUB,categorical
NUMWWAC,numerical
NUMPORTAC,numerical
NUMCFAN,numerical
NUMFLOORFAN,numerical
DEHUMTYPE,categorical
NUMPORTDEHUM,numerical
TYPETHERM,categorical
HEATCNTL,categorical
TEMPHOME,numerical
COOLCNTL,categorical
TEMPHOMEAC,numerical
H2OAPT,boolean
WHEATSIZ,ordinal
FUELH2O,categorical
MORETHAN1H2O,boolean
FUELH2O2,categorical
EVCHRGHOME,boolean
NHSLDMEM,numerical
SQFTEST,numerical
DBT1,numerical
DBT99,numerical
